Wavelength,1,2,3,4
nm,Counts,Counts,Counts,Counts
256.836,30292,30834,31181,31093
256.867,29096,29568,29471,29511
256.899,28380,28167,28425,28392
256.93,27405,27650,27450,27736
256.961,26453,26692,26874,26776
256.993,25707,25509,25860,25557
257.024,24974,25023,24599,24881
257.055,24144,24002,24208,23890
257.087,23248,23194,23648,23456
257.118,22677,22830,22886,22928
257.149,21931,22202,22102,22302
257.181,21384,21353,21648,21693
257.212,20992,21043,20979,21278
257.243,20778,20647,20821,20826
257.274,20273,20444,20447,20564
257.306,20002,20098,20350,20297
257.337,19734,19945,20118,20170
257.368,19678,19968,19671,19982
257.4,19621,20037,19939,19924
257.431,19926,19856,20052,19995
257.462,20033,19993,20230,20270
257.494,20038,20368,20301,20217
257.525,20183,20228,20004,20053
257.556,19535,20009,19832,19860
257.588,19224,19524,19366,19227
257.619,18903,19041,19211,19067
257.65,18334,18632,18904,18752
257.681,18025,18279,18469,18616
257.713,17625,17807,17501,17881
257.744,17080,17166,17074,17351
257.775,16377,16816,16591,16536
257.807,15761,15919,16336,16137
257.838,15413,15575,15672,15564
257.869,15708,15534,15393,15323
257.9,15192,15591,15044,15052
257.932,14792,14921,15186,14836
257.963,14694,14807,14866,14919
257.994,14356,14806,14783,14881
258.026,14584,14530,14708,14519
258.057,14222,14248,14495,14417
258.088,13955,14284,14297,14569
258.119,14205,14099,14397,14073
258.151,13785,14013,14038,14056
258.182,13747,13837,14097,14120
258.213,13719,13775,13812,13989
258.245,13673,13930,13918,13832
258.276,13807,13873,14092,13923
258.307,14046,14296,14152,13943
258.338,14380,14319,14678,14572
258.37,14989,14730,15038,14953
258.401,15970,15651,15707,15923
258.432,17065,17309,17142,17398
258.463,20305,20453,20745,20786
258.495,27015,27267,26980,27088
258.526,35813,36379,36070,36128
258.557,41663,41600,41928,41822
258.588,39395,39168,39505,39667
258.62,31324,31668,31647,31393
258.651,22042,22436,22249,21993
258.682,16413,16405,16393,16365
258.713,13443,13720,13756,13541
258.745,12070,12484,12200,12314
258.776,11467,11759,11629,11666
258.807,11017,11250,11368,11398
258.838,10703,10871,11050,11008
258.869,10700,10765,10720,10629
258.901,10499,10585,10759,10641
258.932,10551,10533,10643,10541
258.963,10280,10238,10347,10337
258.994,10205,10070,10327,10192
259.026,9924,10183,10083,10206
259.057,10167,10019,10223,9938
259.088,9919,9902,10250,9970
259.119,9754,9777,9839,10009
259.15,9684,9643,9691,9850
259.182,9459,9733,9771,9644
259.213,9585,9707,9564,9851
259.244,9426,9512,9506,9619
259.275,9325,9495,9554,9624
259.307,9378,9474,9324,9309
259.338,9149,9334,9321,9401
259.369,9028,8992,9211,9246
259.4,9029,9111,9179,9056
259.431,8998,9219,9231,9277
259.463,8780,9165,9170,9186
259.494,8983,9242,8929,8983
259.525,8726,9081,9151,9051
259.556,8792,9002,8936,9100
259.587,8857,9046,8982,8732
259.619,8822,8781,8878,9016
259.65,8634,8626,8881,8820
259.681,8741,8804,8649,8747
259.712,8539,8697,8534,8727
259.743,8465,8690,8760,8690
259.774,8483,8686,8474,8543
259.806,8448,8405,8339,8530
259.837,8390,8519,8480,8295
259.868,8250,8447,8357,8301
259.899,8262,8369,8301,8434
259.93,8282,8223,8320,8268
259.961,8148,8202,8176,8177
259.993,8107,8149,8234,8248
260.024,7927,8029,8112,8332
260.055,8074,8170,8189,8050
260.086,7960,8041,8084,8224
260.117,7866,8028,8050,8278
260.148,7947,7981,8005,8073
260.18,7958,7912,8089,8028
260.211,7882,7861,8127,8087
260.242,7777,8060,7857,7993
260.273,8031,7793,7771,7785
260.304,7736,7910,7838,7945
260.335,7844,7772,7873,7765
260.367,7521,7918,7689,7954
260.398,7638,7682,7726,7746
260.429,7641,7867,7608,7670
260.46,7513,7668,7675,7728
260.491,7606,7734,7717,7511
260.522,7594,7671,7405,7769
260.553,7489,7579,7494,7586
260.585,7641,7435,7532,7608
260.616,7416,7457,7573,7559
260.647,7471,7437,7375,7416
260.678,7333,7552,7556,7462
260.709,7400,7272,7294,7531
260.74,7186,7309,7373,7239
260.771,7227,7322,7233,7372
260.802,7302,7364,7337,7409
260.834,7139,7376,7333,7390
260.865,7207,7295,7227,7156
260.896,7175,7172,7160,7091
260.927,7115,7183,7362,7419
260.958,7101,7127,7076,7095
260.989,6908,7063,7205,7063
261.02,7005,7136,7098,7057
261.051,7023,7207,7134,7084
261.082,6924,7164,6972,7058
261.114,6917,7122,7101,7165
261.145,7067,6903,7181,7141
261.176,6912,7810,6992,7001
261.207,6957,7117,6974,6994
261.238,7122,6996,7198,7067
261.269,7074,7203,7139,6974
261.3,6843,7134,6971,7104
261.331,6877,7029,7104,7034
261.362,6907,7142,7127,7177
261.393,7001,7028,7010,6965
261.425,7119,7033,7050,7205
261.456,7186,7142,7204,7126
261.487,7216,7319,7182,7147
261.518,7333,7517,7250,7382
261.549,7413,7714,7390,7474
261.58,7550,7810,7814,7826
261.611,7790,7871,7999,8050
261.642,8031,7936,8226,8074
261.673,8412,8526,8570,8521
261.704,8921,9110,9115,8918
261.735,9717,9703,9778,9579
261.766,10379,10326,10466,10611
261.798,11316,11643,11534,11627
261.829,12395,12265,12291,12492
261.86,12975,12763,12851,12825
261.891,12556,12572,12775,12754
261.922,11583,11934,11749,11695
261.953,10514,10716,10719,10579
261.984,9490,9761,9674,9603
262.015,8933,8902,8944,9084
262.046,8430,8455,8593,8482
262.077,8293,8437,8443,8310
262.108,8314,8147,8108,8397
262.139,8257,8275,8304,8356
262.17,8476,8576,8436,8425
262.201,8723,8811,8825,8899
262.232,9178,9290,9436,9383
262.263,10041,10179,9979,10072
262.294,11366,11612,11528,11620
262.325,13469,13764,13710,13656
262.356,16346,16510,16526,16483
262.387,20050,19916,19899,20208
262.418,22343,22495,22401,22656
262.45,22518,22848,22720,22959
262.481,20320,20315,20339,20670
262.512,16450,16718,16788,16720
262.543,13334,13086,13303,13050
262.574,11038,11160,11305,11046
262.605,9944,10137,10280,10195
262.636,9691,9858,9610,9732
262.667,9510,9673,9767,9896
262.698,9866,9867,9930,10030
262.729,10386,10250,10392,10152
262.76,10843,10929,11107,11021
262.791,12124,11983,12140,12168
262.822,13358,13305,13550,13615
262.853,15349,15486,15413,15574
262.884,18605,18509,18535,18610
262.915,22944,22862,23277,23011
262.946,28906,28863,29152,29104
262.977,34919,35210,34884,34957
263.008,35523,35691,35824,36048
263.039,30242,30782,30691,30571
263.07,21914,22103,22083,22203
263.101,14422,14701,14334,14787
263.132,9874,10200,10292,10331
263.163,8084,8107,8251,8292
263.194,7361,7346,7246,7422
263.225,6828,6954,6811,6894
263.256,6525,6501,6558,6406
263.287,6109,6270,6298,6304
263.318,5988,6069,5991,6166
263.349,5830,6038,5938,5825
263.38,5786,5729,5833,5760
263.411,5684,5797,5732,5916
263.442,5671,5561,5754,5757
263.473,5592,5654,5613,5652
263.504,5660,5670,5640,5627
263.534,5476,5517,5673,5671
263.565,5354,5540,5477,5424
263.596,5519,5518,5480,5572
263.627,5288,5396,5364,5382
263.658,5258,5293,5336,5285
263.689,5374,5442,5349,5390
263.72,5152,5328,5320,5195
263.751,5184,5248,5208,5177
263.782,5200,5021,5179,5140
263.813,5097,5205,5098,5069
263.844,4945,4956,5108,5172
263.875,5079,5027,5093,5138
263.906,5047,5065,4927,5149
263.937,4879,5018,5099,5055
263.968,4887,4963,4901,4992
263.999,4841,4914,4965,4981
264.03,4855,4868,5025,4997
264.061,4898,5063,4882,4916
264.092,5000,4833,4844,4817
264.123,4906,4984,4825,4884
264.153,4828,4935,4886,4913
264.184,4690,4868,4892,4902
264.215,4858,4808,4860,4883
264.246,4859,4814,4828,4809
264.277,4785,4937,4902,4874
264.308,4743,4771,4794,4806
264.339,4713,4838,4965,4768
264.37,4704,4693,4746,4805
264.401,4817,4664,4819,4830
264.432,4684,4804,4694,4763
264.463,4637,4882,4777,4838
264.494,4606,4723,4667,4813
264.524,4820,4822,4707,4770
264.555,4612,4714,4716,4798
264.586,4751,4754,4780,4646
264.617,4713,4687,4638,4695
264.648,4624,4698,4645,4690
264.679,4646,4676,4786,4654
264.71,4709,4629,4723,4714
264.741,4605,4698,4553,4752
264.772,4433,4690,4563,4498
264.803,4567,4552,4575,4559
264.833,4578,4568,4664,4523
264.864,4485,4607,4532,4697
264.895,4440,4565,4498,4424
264.926,4460,4455,4383,4579
264.957,4457,4409,4597,4490
264.988,4383,4380,4392,4480
265.019,4462,4456,4386,4426
265.05,4416,4499,4393,4528
265.081,4361,4349,4427,4418
265.111,4274,4485,4410,4352
265.142,4373,4310,4438,4370
265.173,4243,4344,4404,4438
265.204,4354,4424,4324,4438
265.235,4348,4412,4483,4372
265.266,4450,4323,4309,4322
265.297,4317,4215,4358,4265
265.328,4329,4290,4253,4254
265.358,4260,4282,4310,4268
265.389,4187,4320,4175,4206
265.42,4244,4155,4205,4255
265.451,4204,4345,4212,4251
265.482,4184,4198,4358,4163
265.513,4289,4173,4190,4183
265.543,4254,4233,4173,4150
265.574,4147,4232,4082,4257
265.605,4181,4180,4097,4307
265.636,4256,4178,4324,4126
265.667,4046,4152,4140,4084
265.698,4082,4274,4153,4240
265.729,4142,4261,4208,4222
265.759,4086,4170,4021,4231
265.79,4096,4287,4127,4097
265.821,4017,4250,4087,4147
265.852,4060,4112,4112,4102
265.883,4046,4000,4039,4053
265.914,4058,4063,4125,4022
265.944,3933,4051,4035,4113
265.975,4065,4074,4188,4083
266.006,4074,4073,4170,4121
266.037,4088,4095,3988,4006
266.068,4071,4023,4074,4064
266.098,3941,4105,4142,4097
266.129,3935,4099,4071,4068
266.16,4064,4098,4085,4090
266.191,4004,4085,4004,4116
266.222,3955,4076,4074,4010
266.253,3872,4032,4048,3988
266.283,3982,3982,4006,3973
266.314,4010,4043,4052,4055
266.345,3964,4019,4011,4032
266.376,4017,4084,4002,4082
266.407,4000,3988,4043,3996
266.437,3942,4117,3879,3994
266.468,3995,3914,4050,4000
266.499,4027,3987,3922,3993
266.53,4005,3949,3916,4060
266.56,4010,3886,3971,3960
266.591,3897,4003,4051,3919
266.622,3898,4096,3965,4020
266.653,3899,3977,3951,4029
266.684,3994,3946,4009,4009
266.714,3969,3903,4021,3984
266.745,3908,3944,3999,4104
266.776,3869,4013,3913,3932
266.807,3899,3982,4037,4004
266.837,3852,3944,3893,4007
266.868,3949,3888,3905,4082
266.899,3858,3855,3962,3873
266.93,3860,3895,3979,3915
266.961,3933,3888,3836,3829
266.991,3839,3826,3997,3829
267.022,3889,5176,3869,4011
267.053,3908,8939,3858,3827
267.084,3876,3960,3843,3805
267.114,3992,3908,3880,3843
267.145,3923,3928,3767,3956
267.176,3944,3799,3852,3951
267.207,3915,3765,3882,3834
267.237,3913,3876,3915,3965
267.268,3840,3853,4010,3809
267.299,3861,3771,3928,3880
267.33,3777,3972,3868,3775
267.36,3852,3904,3974,3962
267.391,3895,3892,3976,3866
267.422,3853,3953,3973,3905
267.453,3968,3843,3913,3910
267.483,3811,3785,3872,3948
267.514,3844,3879,3868,3929
267.545,3853,3807,3810,3741
267.575,3855,3955,3883,3803
267.606,3783,3796,3932,3799
267.637,3771,3839,3825,3893
267.668,3762,3907,3808,3787
267.698,3815,3817,3757,3795
267.729,3800,3839,3778,3850
267.76,3733,3836,3842,3813
267.79,3823,3939,3868,3801
267.821,3793,3872,3827,3689
267.852,3735,3892,3826,3750
267.883,3838,3900,3810,3783
267.913,3823,3896,3761,3801
267.944,3763,3818,3809,3889
267.975,3777,3892,3766,3760
268.005,3878,3750,3724,3848
268.036,3787,3751,3749,3773
268.067,3804,3819,3797,3739
268.098,3700,3875,3797,3741
268.128,3836,3783,3872,3784
268.159,3706,3771,3856,3880
268.19,3682,3812,3792,3812
268.22,3834,3745,3801,3760
268.251,3828,3816,3702,3950
268.282,3687,3827,3724,3724
268.312,3685,3721,3825,3746
268.343,3719,3688,3758,3822
268.374,3836,3721,3774,3776
268.404,3755,3819,3779,3806
268.435,3736,3687,3719,3754
268.466,3717,3616,3752,3712
268.496,3853,3791,3792,3721
268.527,3794,3754,3728,3730
268.558,3791,3753,3697,3678
268.588,3725,3806,3739,3759
268.619,3763,3827,3742,3669
268.65,3746,3795,3711,3762
268.68,3660,3849,3796,3745
268.711,3677,3823,3819,3785
268.742,3723,3860,3723,3645
268.772,3756,3819,3682,3797
268.803,3828,3793,3807,3739
268.834,3668,3758,3701,3798
268.864,3720,3750,3783,3781
268.895,3833,3754,3718,3708
268.926,3835,3790,3870,3739
268.956,3757,3792,3824,3798
268.987,3778,3790,3816,4387
269.017,3740,3825,3828,3849
269.048,3831,3835,3776,3796
269.079,3779,3787,3739,3790
269.109,3760,3833,3758,3884
269.14,3703,3756,3833,3604
269.171,3751,3746,3741,3752
269.201,3736,3697,3786,3743
269.232,3755,3743,3759,3674
269.262,3714,3822,3740,3715
269.293,3704,3791,3661,3740
269.324,3779,3795,3758,3673
269.354,3758,3737,3762,3680
269.385,3680,3841,3724,3717
269.416,3738,3800,3783,3712
269.446,3795,3697,3828,3793
269.477,3729,3776,3822,3848
269.507,3744,3788,3731,3771
269.538,3821,3754,3744,3681
269.569,3728,3797,3695,3813
269.599,3656,3743,3702,3780
269.63,3711,3762,3786,3739
269.66,3770,3849,3796,3828
269.691,3861,3860,3770,3811
269.722,3813,3799,3920,3731
269.752,3866,3898,3828,3962
269.783,3856,3878,3912,3904
269.813,3870,3892,3834,3850
269.844,3869,4007,3942,3948
269.875,3967,3911,3907,3948
269.905,3995,4058,4044,3976
269.936,4014,4073,4037,4086
269.966,4099,4005,4039,4081
269.997,4056,3999,4041,4009
270.027,3959,4027,4091,4030
270.058,4053,3985,4090,4012
270.089,4097,4062,4138,4042
270.119,4064,4034,4107,4077
270.15,4073,4141,4088,4039
270.18,4192,4017,3985,4150
270.211,4070,4050,4059,4081
270.241,4194,4091,4042,4072
270.272,4068,4092,4072,4097
270.302,4058,4059,4161,4206
270.333,4172,4120,4139,4080
270.364,4098,4046,4122,4058
270.394,4055,4208,4122,4050
270.425,4035,4099,4230,4083
270.455,4155,4180,4136,4008
270.486,4190,4135,4045,4070
270.516,4124,4290,4159,4205
270.547,4114,4156,4136,4078
270.577,4222,4274,4158,4170
270.608,4204,4195,4167,4153
270.638,4218,4211,4103,4227
270.669,4158,4253,4235,4183
270.7,4233,4249,4165,4194
270.73,4147,4188,4163,4224
270.761,4153,4228,4185,4304
270.791,4175,4347,4355,4315
270.822,4183,4413,4362,4173
270.852,4335,4246,4287,4234
270.883,4260,4297,4364,4335
270.913,4277,4317,4310,4426
270.944,4348,4294,4363,4317
270.974,4439,4360,4508,4286
271.005,4404,4432,4367,4458
271.035,4467,4467,4498,4393
271.066,4462,4402,4443,4392
271.096,4497,4535,4494,4587
271.127,4576,4542,4521,4440
271.157,4494,4610,4646,4579
271.188,4668,4609,4599,4684
271.218,4646,4757,4569,4664
271.249,4784,4653,4694,4701
271.279,4771,4812,4814,4804
271.31,4843,4710,4991,4830
271.34,4888,5024,4888,4791
271.371,5077,5077,4975,5003
271.401,4953,5056,5110,4932
271.432,5195,5063,4998,5128
271.462,5304,5267,5308,5176
271.493,5309,5375,5285,5350
271.523,5433,5413,5438,5367
271.554,5494,5512,5289,5436
271.584,5657,5404,5651,5612
271.615,5458,5682,5475,5625
271.645,5513,5599,5578,5533
271.676,5495,5569,5605,5381
271.706,5255,5384,5348,5428
271.736,5345,5302,5300,5260
271.767,5091,5063,5142,5155
271.797,4998,5082,5027,4989
271.828,4899,4906,4901,4841
271.858,4705,4701,4718,4776
271.889,4648,4652,4723,4532
271.919,4618,4502,4477,4636
271.95,4544,4537,4476,4592
271.98,4463,4493,4386,4432
272.011,4526,4490,4607,4407
272.041,4481,4461,4537,4348
272.071,4462,4544,4447,4471
272.102,4357,4518,4590,4572
272.132,4382,4405,4483,4402
272.163,4401,4412,4481,4403
272.193,4351,4473,4365,4413
272.224,4439,4387,4501,4361
272.254,4397,4401,4450,4512
272.284,4403,4443,4323,4292
272.315,4380,4396,4450,4395
272.345,4495,4418,4513,4389
